DDMMYYYY,Q
01/01/1995,1.00186065666995
02/01/1995,0.941384208340541
03/01/1995,0.508548572191834
04/01/1995,0.444737895445575
05/01/1995,0.617195124062106
06/01/1995,0.395068567238492
07/01/1995,0.33603371458512
08/01/1995,0.289931144087082
09/01/1995,0.424242851803288
10/01/1995,0.333020175868595
11/01/1995,0.764686943034363
12/01/1995,1.25690176973121
13/01/1995,1.37444383394454
14/01/1995,2.00020222360591
15/01/1995,2.14823868745724
16/01/1995,2.38413946455879
17/01/1995,2.07071503858217
18/01/1995,2.14246892972759
19/01/1995,1.79539593609149
20/01/1995,1.89917784577598
21/01/1995,2.54490688155752
22/01/1995,4.17394596058054
23/01/1995,4.26119439082547
24/01/1995,2.54034011480312
25/01/1995,1.7969337320662
26/01/1995,1.67607233684305
27/01/1995,1.22915390110186
28/01/1995,1.6511480539809
29/01/1995,1.29259287821081
30/01/1995,1.02453222834189
31/01/1995,1.26425437769355
01/02/1995,2.98277689046743
02/02/1995,3.19159387125563
03/02/1995,2.44977188575952
04/02/1995,2.78442420914261
05/02/1995,1.68605486748538
06/02/1995,1.62901083228316
07/02/1995,1.5260225491162
08/02/1995,2.93256607843471
09/02/1995,4.31807940451697
10/02/1995,4.96970133536008
11/02/1995,5.46833027356154
12/02/1995,6.06702200879567
13/02/1995,4.14542449572998
14/02/1995,3.43486555790469
15/02/1995,3.66437353771331
16/02/1995,3.66105537953456
17/02/1995,3.62650300946991
18/02/1995,3.61735397056682
19/02/1995,3.55122281632929
20/02/1995,3.292700847659
21/02/1995,3.31324547556695
22/02/1995,3.21721490519787
23/02/1995,3.7295142589105
24/02/1995,4.01395895111307
25/02/1995,3.76941170842199
26/02/1995,3.26269588542712
27/02/1995,3.71207916682961
28/02/1995,3.68603723434176
01/03/1995,3.72217733996737
02/03/1995,3.55711228214171
03/03/1995,3.81397037084117
04/03/1995,3.79942254400351
05/03/1995,4.70782381858615
06/03/1995,5.95307907506229
07/03/1995,6.80713071056055
08/03/1995,7.20897769082424
09/03/1995,7.068935602605
10/03/1995,4.37147580175763
11/03/1995,5.02515007305805
12/03/1995,4.31112741991631
13/03/1995,3.99620157357853
14/03/1995,3.69982236458713
15/03/1995,3.63823548772429
16/03/1995,3.37631211225954
17/03/1995,3.48330467647171
18/03/1995,3.25876233914427
19/03/1995,2.26015808634735
20/03/1995,1.60321080212764
21/03/1995,1.4388099809623
22/03/1995,1.21435403738465
23/03/1995,1.54499328985264
24/03/1995,1.41545170546234
25/03/1995,1.16242299004221
26/03/1995,2.09532499582116
27/03/1995,1.08829039697005
28/03/1995,0.97116764520376
29/03/1995,1.02663026716325
30/03/1995,1.16120129332125
31/03/1995,0.883139847813249
01/04/1995,1.28767164740588
02/04/1995,0.882693587990763
03/04/1995,1.08239624063797
04/04/1995,0.992020694459476
05/04/1995,1.19007656470689
06/04/1995,0.56517958110033
07/04/1995,0.354616654182962
08/04/1995,0.558442350951424
09/04/1995,0.683343209933033
10/04/1995,0.633199993672883
11/04/1995,0.418307961021861
12/04/1995,0.535646576479585
13/04/1995,0.484334300421465
14/04/1995,0.615893668248451
15/04/1995,0.629597135783847
16/04/1995,0.558266404445875
17/04/1995,0.679026638658456
18/04/1995,0.969950365814627
19/04/1995,0.94487541795773
20/04/1995,0.591140623575792
21/04/1995,0.547589600333854
22/04/1995,0.462654208797058
23/04/1995,0.731534658066516
24/04/1995,1.13709094740099
25/04/1995,2.20276211256872
26/04/1995,3.32895282290525
27/04/1995,4.79578620440002
28/04/1995,4.72084602175121
29/04/1995,3.40430939785087
30/04/1995,1.77596238885282
01/05/1995,1.41351191942091
02/05/1995,1.30309083594828
03/05/1995,1.07124145915116
04/05/1995,0.97896014902198
05/05/1995,1.0133605869613
06/05/1995,0.819139570524869
07/05/1995,0.606589525670766
08/05/1995,0.612953134241285
09/05/1995,0.766758372034507
10/05/1995,0.787837206536488
11/05/1995,0.601236426709307
12/05/1995,0.757651243212524
13/05/1995,0.853976557910652
14/05/1995,0.789783410399786
15/05/1995,1.17311251863571
16/05/1995,1.58567119189315
17/05/1995,1.27202089223947
18/05/1995,1.16414042942059
19/05/1995,0.907608115634524
20/05/1995,0.748734130041916
21/05/1995,0.714312940218288
22/05/1995,0.858333464712273
23/05/1995,1.10933792112959
24/05/1995,1.50247977068279
25/05/1995,1.29737372679359
26/05/1995,1.87988765794477
27/05/1995,1.98124574150263
28/05/1995,2.00187315278279
29/05/1995,4.80091586211393
30/05/1995,4.37831992745485
31/05/1995,1.83647043679998
01/06/1995,1.2155749855328
02/06/1995,1.00407585798478
03/06/1995,1.79000893075392
04/06/1995,1.65598326511438
05/06/1995,1.3694300517702
06/06/1995,1.24487634038329
07/06/1995,0.844776307913105
08/06/1995,1.07129273946054
09/06/1995,1.49421332923213
10/06/1995,2.68319924030313
11/06/1995,4.80677602342409
12/06/1995,8.30446831676031
13/06/1995,11.8363570723366
14/06/1995,12.9010489796238
15/06/1995,10.0732394801825
16/06/1995,7.10920433829203
17/06/1995,3.35979201617455
18/06/1995,1.75352607735161
19/06/1995,1.32833706146588
20/06/1995,1.46164639700735
21/06/1995,1.19859315806016
22/06/1995,1.09334219518928
23/06/1995,1.12947223356962
24/06/1995,1.05010062700633
25/06/1995,0.96688644523846
26/06/1995,1.42540057764257
27/06/1995,2.31101603499607
28/06/1995,1.85419421277181
29/06/1995,1.28519313360339
30/06/1995,1.53785678903498
01/07/1995,2.4199773587033
02/07/1995,2.2914899465698
03/07/1995,2.34915467514791
04/07/1995,2.22873171469372
05/07/1995,1.48533079508911
06/07/1995,1.48177627986392
07/07/1995,1.40322280804674
08/07/1995,1.63059331966372
09/07/1995,1.37602896918324
10/07/1995,1.13305146583348
11/07/1995,1.0293439522967
12/07/1995,1.36416137525663
13/07/1995,1.0879017644571
14/07/1995,0.838045072880224
15/07/1995,1.09528860727991
16/07/1995,1.11010276851412
17/07/1995,1.33944441196652
18/07/1995,1.21191590767548
19/07/1995,1.01028686394835
20/07/1995,0.768269596204251
21/07/1995,1.05654592913552
22/07/1995,0.779418540304826
23/07/1995,0.763642073388675
24/07/1995,0.420349112410038
25/07/1995,0.677897110171044
26/07/1995,0.482281009870359
27/07/1995,0.404339194248811
